id_sexo,sexo,id_jurisdiccion,jurisdiccion,anio,jurisdiccion_tasa_sifilis
3.0,Ambos sexos,58.0,Neuquen,2022.0,29.67420078
3.0,Ambos sexos,62.0,Rio Negro,2022.0,72.93965059
3.0,Ambos sexos,66.0,Salta,2022.0,93.46447596
3.0,Ambos sexos,70.0,San Juan,2022.0,109.8161332
3.0,Ambos sexos,74.0,San Luis,2022.0,137.276925
3.0,Ambos sexos,78.0,Santa Cruz,2022.0,69.30205535
3.0,Ambos sexos,82.0,Santa Fe,2022.0,100.9749585
3.0,Ambos sexos,86.0,Santiago Del Estero,2022.0,10.92082602
3.0,Ambos sexos,94.0,Tierra Del Fuego,2022.0,70.88574207
3.0,Ambos sexos,90.0,Tucuman,2022.0,46.88262275
2.0,Mujeres,200.0,Arg,2022.0,62.14147189
2.0,Mujeres,2.0,Caba,2022.0,3.984378783
2.0,Mujeres,6.0,Buenos Aires,2022.0,37.78979181
2.0,Mujeres,10.0,Catamarca,2022.0,5.213937328
2.0,Mujeres,22.0,Chaco,2022.0,99.8178846
2.0,Mujeres,26.0,Chubut,2022.0,83.12786634
2.0,Mujeres,14.0,Cordoba,2022.0,141.1329868
2.0,Mujeres,18.0,Corrientes,2022.0,27.37461818
2.0,Mujeres,30.0,Entre Rios,2022.0,15.74937037
2.0,Mujeres,34.0,Formosa,2022.0,151.1967857
2.0,Mujeres,38.0,Jujuy,2022.0,116.2688497
2.0,Mujeres,42.0,La Pampa,2022.0,106.7218426
2.0,Mujeres,46.0,La Rioja,2022.0,75.46350871
2.0,Mujeres,50.0,Mendoza,2022.0,63.4572561
2.0,Mujeres,54.0,Misiones,2022.0,91.27679028
2.0,Mujeres,58.0,Neuquen,2022.0,31.53100549
2.0,Mujeres,62.0,Rio Negro,2022.0,73.66070267
2.0,Mujeres,66.0,Salta,2022.0,91.00859495
2.0,Mujeres,70.0,San Juan,2022.0,124.4394005
2.0,Mujeres,74.0,San Luis,2022.0,159.2884607
2.0,Mujeres,78.0,Santa Cruz,2022.0,78.19780832
2.0,Mujeres,82.0,Santa Fe,2022.0,110.8463628
2.0,Mujeres,86.0,Santiago Del Estero,2022.0,10.7680834
2.0,Mujeres,94.0,Tierra Del Fuego,2022.0,58.25938872
2.0,Mujeres,90.0,Tucuman,2022.0,44.67460477
1.0,Varones,200.0,Arg,2022.0,52.99549378
1.0,Varones,2.0,Caba,2022.0,12.75704585
1.0,Varones,6.0,Buenos Aires,2022.0,26.9080324
1.0,Varones,10.0,Catamarca,2022.0,11.82016331
1.0,Varones,22.0,Chaco,2022.0,59.94025789
1.0,Varones,26.0,Chubut,2022.0,73.63310744
1.0,Varones,14.0,Cordoba,2022.0,139.0301436
1.0,Varones,18.0,Corrientes,2022.0,22.04730569
1.0,Varones,30.0,Entre Rios,2022.0,7.499073432
1.0,Varones,34.0,Formosa,2022.0,92.85992212
1.0,Varones,38.0,Jujuy,2022.0,103.0263013
1.0,Varones,42.0,La Pampa,2022.0,71.9555868
1.0,Varones,46.0,La Rioja,2022.0,55.22937606
1.0,Varones,50.0,Mendoza,2022.0,73.84090786
1.0,Varones,54.0,Misiones,2022.0,65.14445277
1.0,Varones,58.0,Neuquen,2022.0,27.79371152
1.0,Varones,62.0,Rio Negro,2022.0,72.2148234
1.0,Varones,66.0,Salta,2022.0,95.833593
1.0,Varones,70.0,San Juan,2022.0,94.97467763
1.0,Varones,74.0,San Luis,2022.0,114.9256273
